Maturity,Strike,Call,Date
2020-10-29,205.0,21.5,2020-10-26
2020-10-29,210.0,16.375,2020-10-26
2020-10-29,215.0,11.5,2020-10-26
2020-10-29,220.0,6.95,2020-10-26
2020-10-29,225.0,3.05,2020-10-26
2020-10-29,230.0,0.85,2020-10-26
2020-10-29,235.0,0.36,2020-10-26
2020-11-06,205.0,21.625,2020-10-26
2020-11-06,210.0,17.0,2020-10-26
2020-11-06,215.0,12.5,2020-10-26
2020-11-06,220.0,8.4,2020-10-26
2020-11-06,225.0,4.9,2020-10-26
2020-11-06,230.0,2.55,2020-10-26
2020-11-06,235.0,1.0,2020-10-26
2020-11-06,240.0,0.525,2020-10-26
2020-11-06,245.0,0.355,2020-10-26
2020-11-06,250.0,0.20500000000000002,2020-10-26
2020-11-13,205.0,22.125,2020-10-26
2020-11-13,210.0,17.75,2020-10-26
2020-11-13,215.0,13.5,2020-10-26
2020-11-13,220.0,9.4,2020-10-26
2020-11-13,225.0,6.4,2020-10-26
2020-11-13,230.0,3.8,2020-10-26
2020-11-13,235.0,2.05,2020-10-26
2020-11-13,240.0,1.025,2020-10-26
2020-11-13,245.0,0.525,2020-10-26
2020-11-13,250.0,0.335,2020-10-26
2020-11-13,255.0,0.28,2020-10-26
2020-11-13,260.0,0.405,2020-10-26
2020-11-20,195.0,32.0,2020-10-26
2020-11-20,200.0,27.5,2020-10-26
2020-11-20,205.0,22.625,2020-10-26
2020-11-20,210.0,18.125,2020-10-26
2020-11-20,215.0,14.125,2020-10-26
2020-11-20,220.0,10.275,2020-10-26
2020-11-20,225.0,7.2,2020-10-26
2020-11-20,230.0,4.525,2020-10-26
2020-11-20,235.0,2.65,2020-10-26
2020-11-20,240.0,1.4249999999999998,2020-10-26
2020-11-20,245.0,0.75,2020-10-26
2020-11-20,250.0,0.4,2020-10-26
2020-11-20,255.0,0.255,2020-10-26
2020-11-20,260.0,0.23,2020-10-26
2020-11-20,265.0,0.20500000000000002,2020-10-26
2020-11-20,270.0,0.20500000000000002,2020-10-26
2020-11-27,205.0,23.0,2020-10-26
2020-11-27,210.0,18.75,2020-10-26
2020-11-27,215.0,14.625,2020-10-26
2020-11-27,220.0,11.0,2020-10-26
2020-11-27,225.0,7.800000000000001,2020-10-26
2020-11-27,230.0,5.2,2020-10-26
2020-11-27,235.0,3.25,2020-10-26
2020-11-27,240.0,1.9,2020-10-26
2020-11-27,245.0,1.15,2020-10-26
2020-11-27,250.0,0.65,2020-10-26
2020-11-27,255.0,0.405,2020-10-26
2020-12-18,100.0,126.375,2020-10-26
2020-12-18,110.0,116.375,2020-10-26
2020-12-18,120.0,106.5,2020-10-26
2020-12-18,130.0,96.5,2020-10-26
2020-12-18,140.0,86.75,2020-10-26
2020-12-18,145.0,81.625,2020-10-26
2020-12-18,150.0,76.625,2020-10-26
2020-12-18,160.0,66.875,2020-10-26
2020-12-18,170.0,57.0,2020-10-26
2020-12-18,180.0,47.25,2020-10-26
2020-12-18,190.0,37.625,2020-10-26
2020-12-18,195.0,33.25,2020-10-26
2020-12-18,200.0,28.875,2020-10-26
2020-12-18,205.0,24.625,2020-10-26
2020-12-18,210.0,20.5,2020-10-26
2020-12-18,215.0,16.375,2020-10-26
2020-12-18,220.0,12.875,2020-10-26
2020-12-18,225.0,9.875,2020-10-26
2020-12-18,230.0,7.3,2020-10-26
2020-12-18,235.0,5.0,2020-10-26
2020-12-18,240.0,3.45,2020-10-26
2020-12-18,245.0,2.25,2020-10-26
2020-12-18,250.0,1.5,2020-10-26
2020-12-18,255.0,0.925,2020-10-26
2020-12-18,260.0,0.625,2020-10-26
2020-12-18,270.0,0.31,2020-10-26
2020-12-18,280.0,0.23,2020-10-26
2020-12-18,290.0,0.20500000000000002,2020-10-26
2020-12-18,310.0,0.20500000000000002,2020-10-26
2021-01-15,205.0,25.5,2020-10-26
2021-01-15,210.0,21.375,2020-10-26
2021-01-15,215.0,17.75,2020-10-26
2021-01-15,220.0,14.25,2020-10-26
2021-01-15,225.0,11.25,2020-10-26
2021-01-15,230.0,8.5,2020-10-26
2021-01-15,235.0,6.25,2020-10-26
2021-01-15,240.0,4.525,2020-10-26
2021-01-15,245.0,3.2,2020-10-26
2021-01-15,250.0,2.225,2020-10-26
2021-01-15,255.0,1.525,2020-10-26
2021-01-15,260.0,1.05,2020-10-26
2021-01-15,265.0,0.725,2020-10-26
2021-01-15,270.0,0.5,2020-10-26
2021-03-19,100.0,126.625,2020-10-26
2021-03-19,110.0,116.625,2020-10-26
2021-03-19,120.0,106.625,2020-10-26
2021-03-19,130.0,96.75,2020-10-26
2021-03-19,140.0,86.875,2020-10-26
2021-03-19,150.0,77.375,2020-10-26
2021-03-19,170.0,58.25,2020-10-26
2021-03-19,180.0,49.0,2020-10-26
2021-03-19,190.0,40.25,2020-10-26
2021-03-19,200.0,32.0,2020-10-26
2021-03-19,210.0,24.5,2020-10-26
2021-03-19,220.0,18.0,2020-10-26
2021-03-19,230.0,12.25,2020-10-26
2021-03-19,240.0,7.85,2020-10-26
2021-03-19,250.0,4.85,2020-10-26
2021-03-19,260.0,2.9000000000000004,2020-10-26
2021-03-19,270.0,1.65,2020-10-26
2021-03-19,280.0,0.975,2020-10-26
2021-03-19,290.0,0.625,2020-10-26
2021-03-19,310.0,0.355,2020-10-26
2021-03-19,350.0,0.305,2020-10-26
2021-06-18,120.0,106.75,2020-10-26
2021-06-18,130.0,96.75,2020-10-26
2021-06-18,140.0,87.125,2020-10-26
2021-06-18,150.0,77.25,2020-10-26
2021-06-18,170.0,58.875,2020-10-26
2021-06-18,190.0,40.75,2020-10-26
2021-06-18,210.0,25.125,2020-10-26
2021-06-18,230.0,13.625,2020-10-26
2021-06-18,250.0,6.35,2020-10-26
2021-06-18,270.0,2.575,2020-10-26
2021-06-18,290.0,1.075,2020-10-26
2021-06-18,310.0,0.455,2020-10-26
2021-06-18,350.0,0.305,2020-10-26
2021-09-17,140.0,87.0,2020-10-26
2021-09-17,150.0,77.625,2020-10-26
2021-09-17,170.0,59.125,2020-10-26
2021-09-17,190.0,41.875,2020-10-26
2021-09-17,210.0,27.0,2020-10-26
2021-09-17,230.0,15.875,2020-10-26
2021-09-17,250.0,8.0,2020-10-26
2021-09-17,270.0,4.050000000000001,2020-10-26
2021-09-17,290.0,1.775,2020-10-26
2021-09-17,310.0,0.875,2020-10-26
2021-09-17,350.0,0.355,2020-10-26
2021-12-17,100.0,126.25,2020-10-26
2021-12-17,110.0,116.75,2020-10-26
2021-12-17,120.0,106.75,2020-10-26
2021-12-17,130.0,96.5,2020-10-26
2021-12-17,140.0,87.25,2020-10-26
2021-12-17,150.0,77.25,2020-10-26
2021-12-17,170.0,59.0,2020-10-26
2021-12-17,190.0,42.5,2020-10-26
2021-12-17,210.0,28.5,2020-10-26
2021-12-17,230.0,17.625,2020-10-26
2021-12-17,250.0,10.15,2020-10-26
2021-12-17,270.0,5.25,2020-10-26
2021-12-17,290.0,2.45,2020-10-26
2021-12-17,310.0,1.1,2020-10-26
2021-12-17,350.0,0.43,2020-10-26
